Agricultural Practicies,field,Grime strategy,Salinity 
Commited,e27i3,R,253.055
Commited,e27i3,CR,253.055
Commited,e27i3,CR,253.055
Commited,e2i1,CR,947.63
Commited,e2i1,CR,947.63
Commited,e2i1,C,947.63
Intensive,e16i1,R,156.665
Intensive,e16i1,SR,156.665
Intensive,e16i1,CR,156.665
Intensive,e9i1,CR,366.455
Intensive,e9i1,R,366.455
Intensive,e9i1,CR,366.455
Intensive,e9i1,R,366.455
Limited,e20i1,CR,760.52
Limited,e20i1,CR,760.52
Limited,e20i1,R,760.52
Limited,e26i1,R,91.46
Limited,e26i1,R,91.46
Limited,e26i1,R,91.46
Abandoned,P11,R,3567.17
Abandoned,P11,R,3567.17
Abandoned,P12,R,6061.97
Abandoned,P12,S,6061.97
